tid,rpid,code,name,time,type,content
183717561,,szzs,上证指数,2015-07-07 10:08:52,title,这次暴跌主要的目的原来就是为了歼灭还有心“为国护盘”的热血之人。
181344061,7886259250,szzs,上证指数,2015-06-30 13:19:26,reply,扯你娘的鸟蛋
243350809,,szzs,上证指数,2016-01-18 12:06:44,content,资金明显流入中小创了！比较正确！ ..
158854231,7803457660,399001,深证成指,2015-04-29 08:41:06,reply,南北车本人觉得！主力因为大家都说申宏万源第=，所以先打压股价，上市时好低开高走派发
182809756,,szzs,上证指数,2015-07-03 18:49:49,title,下周新股还发.会持续下跌2800点
759135602,8692633160,szzs,上证指数,2018-05-07 17:49:58,reply,...那你得调整一下自己了，尤其是心态
197380144,,szzs,上证指数,2015-08-24 11:42:21,title,强烈要求降准降息降印花税
521607308,8262970641,szzs,上证指数,2016-08-08 13:31:37,reply,如果涨了我就带你去开房间奖励你
597215720,8387232556,szzs,上证指数,2017-01-31 10:08:26,reply,发展熊市是硬道理。[大笑][大笑][大笑]
494364495,8255650633,szzs,上证指数,2016-07-29 17:20:32,reply,有啥一战成名的。。。 下跌放量，上涨无量，上证十字是下跌的继续。。。 有啥说的，。。。上证有个缺口，这个是必须会补的， 2880点抄底就是了，上升趋势线。。。 这个点本来不想现在说的。。。。
732492744,,szzs,上证指数,2017-11-28 12:17:41,content,坦克底来 坦克底来
189147602,7923510000,szzs,上证指数,2015-07-23 08:36:26,reply,不懂啊[哭][哭][哭]
778366804,,szzs,上证指数,2018-08-15 10:31:37,content,股指欺祸 又是砸平安 茅台 做空牟取暴利 去年狂拉指数的上证50 就是祸害 正好用来砸盘做空
683665200,8476598057,szzs,上证指数,2017-07-28 19:01:39,reply,减持和业绩持续增长挂钩
183639585,7896892298,szzs,上证指数,2015-07-07 08:47:21,reply,[献花]
230202628,,szzs,上证指数,2015-12-09 18:47:13,content,把大盘和创业板大盘反过来看明摆着是个金叉买入的架势，最低到60均线，能不能撑住真 把大盘和创业板大盘反过来看明摆着是个金叉买入的架势，最低到60均线，能不能撑住真是两可[无语]反正60均线上方坚决不买
394161699,,szzs,上证指数,2016-05-18 10:33:14,content,上午还要逃命的机会，下午十有八九会千股跌停，不秒 上午还要逃命的机会，下午十有八九会千股跌停，不秒
525207295,,szzs,上证指数,2016-08-11 10:08:16,title,大盘涨个股不跟涨，大盘跌个股向吃了泻药直线
558371899,,szzs,上证指数,2016-10-13 14:26:28,title,丢脸啊，人家美国在创新高，烂A在创新低
563261196,8337581093,szzs,上证指数,2016-10-28 17:17:20,reply,[献花][献花][献花]
532496495,8270369427,szzs,上证指数,2016-08-16 06:58:46,reply,喝些酒就会睡的很香！
644672503,8439684981,szzs,上证指数,2017-05-20 09:40:48,reply,抄股太闷，娱乐啊，一起玩吧，，，，
225547440,,szzs,上证指数,2015-11-26 04:13:34,title,对目前中国经济而言，需要注册制尽快推出。央行不断放水导致流动性泛滥，但资金流入实
619448109,8407789826,szzs,上证指数,2017-03-22 07:32:51,reply,早上好
330407952,8222873528,szzs,上证指数,2016-06-09 08:16:39,reply,A股不是病猫、是死猫
637475659,,szzs,上证指数,2017-05-05 13:25:57,content,快点跌，我等着抄底[加油][加油] 快点跌，我等着抄底[加油][加油]
