ts_code,trade_date,total_mv,float_mv,pe,pb
000300.SH,20150105,28856051810114.0,21223197730935.0,14.45,1.94
000300.SH,20150106,28898808117364.0,21307398388219.0,14.47,1.93
000300.SH,20150107,29013442248505.0,21439723396802.0,14.52,1.94
000300.SH,20150108,28228255559683.0,20885181579118.0,14.13,1.89
000300.SH,20150109,28232622118219.0,20856792148733.0,14.13,1.89
000300.SH,20150112,27850715614332.0,20570702458711.0,13.94,1.86
000300.SH,20150113,27872130827089.0,20598088888325.0,13.95,1.86
000300.SH,20150114,27804754083129.0,20523386016001.0,13.92,1.86
000300.SH,20150115,28870753026779.0,21330395648991.0,14.45,1.93
000300.SH,20150116,29230149857084.0,21594911537836.0,14.63,1.95
000300.SH,20150119,26791586921988.0,19825699523055.0,13.41,1.79
000300.SH,20150120,27151459150864.0,20117819696786.0,13.59,1.81
000300.SH,20150121,28564565552908.0,21152112313887.0,14.3,1.91
000300.SH,20150122,28637104556678.0,21230644042631.0,14.34,1.91
000300.SH,20150123,28741895747504.0,21318278594807.0,14.39,1.92
000300.SH,20150126,29065076489363.0,21416058746202.0,14.55,1.94
000300.SH,20150127,28691915985549.0,21148890307307.0,14.36,1.91
000300.SH,20150128,28208778033419.0,20808325658923.0,14.12,1.88
000300.SH,20150129,27788970566675.0,20490776196093.0,13.91,1.85
000300.SH,20150130,27343790522163.0,20158253774940.0,13.68,1.82
000300.SH,20150202,26524869981604.0,19574447727131.0,13.27,1.77
000300.SH,20150203,27258223991009.0,20121930375605.0,13.64,1.81
000300.SH,20150204,26934949612690.0,19889836676912.0,13.48,1.79
000300.SH,20150205,26607049391477.0,19650829238145.0,13.32,1.77
000300.SH,20150206,26090767702592.0,19274723414686.0,13.06,1.74
000300.SH,20150209,26335862581128.0,19464277226757.0,13.18,1.77
000300.SH,20150210,26794770439650.0,19811339164460.0,13.41,1.8
000300.SH,20150211,26917966312818.0,19903671271058.0,13.47,1.81
000300.SH,20150212,26999907655640.0,19974586567647.0,13.51,1.82
000300.SH,20150213,27230598356393.0,20135775675795.0,13.62,1.83
000300.SH,20150216,27354283856070.0,20229669603837.0,13.67,1.84
000300.SH,20150217,27572487802048.0,20379128512248.0,13.77,1.85
000300.SH,20150225,27323407544039.0,20255693964337.0,13.65,1.83
000300.SH,20150226,27979859574011.0,20728865423966.0,13.97,1.87
000300.SH,20150227,28042319364125.0,20769402299650.0,14.0,1.88
000300.SH,20150302,28185627190361.0,20878933382035.0,14.08,1.89
000300.SH,20150303,27399740068588.0,20283003170059.0,13.66,1.83
000300.SH,20150304,27502429887491.0,20370621180220.0,13.71,1.84
000300.SH,20150305,27145120538429.0,20119370536937.0,13.53,1.82
000300.SH,20150306,27078070121515.0,20078192906901.0,13.5,1.81
000300.SH,20150309,27683154489742.0,20493015061048.0,13.78,1.85
000300.SH,20150310,27441761811703.0,20324762218613.0,13.66,1.83
000300.SH,20150311,27512721613037.0,20500825272518.0,13.7,1.84
000300.SH,20150312,28135299232428.0,20948182220023.0,13.98,1.88
000300.SH,20150313,28269046984058.0,21075528489280.0,14.02,1.89
000300.SH,20150316,28850490168666.0,21530512056717.0,14.29,1.93
000300.SH,20150317,29254825033056.0,21832570831839.0,14.48,1.95
000300.SH,20150318,29934410671543.0,22329268102361.0,14.8,2.0
000300.SH,20150319,29851288961413.0,22298200972091.0,14.68,1.99
000300.SH,20150320,30169219478740.0,22532340617556.0,14.74,2.01
000300.SH,20150323,30720392098694.0,22955194693707.0,15.25,2.05
000300.SH,20150324,30736090105755.0,22984361047232.0,15.19,2.05
000300.SH,20150325,30327664737888.0,22693177067364.0,14.83,2.01
000300.SH,20150326,30549326983564.0,22900806280385.0,14.94,2.02
000300.SH,20150327,30599912382223.0,22934339694718.0,14.96,2.01
000300.SH,20150330,31506212239815.0,23610624973072.0,15.25,2.06
000300.SH,20150331,31173589156499.0,23359409889804.0,14.93,2.03
000300.SH,20150401,31651152736600.0,23713857637601.0,15.16,2.07
000300.SH,20150402,31630855449456.0,23698913991756.0,15.14,2.07
000300.SH,20150403,31845645344428.0,23871074188951.0,15.23,2.08
000300.SH,20150407,32637697876575.0,24456538017496.0,15.62,2.13
000300.SH,20150408,32991506194940.0,24719293286610.0,15.78,2.16
000300.SH,20150409,32687770891467.0,24483463248156.0,15.63,2.14
000300.SH,20150410,33321624269315.0,24904110991292.0,15.91,2.17
000300.SH,20150413,34072486933332.0,25409355860064.0,16.27,2.22
000300.SH,20150414,34094135778361.0,25452760423311.0,16.28,2.22
000300.SH,20150415,33904057765359.0,25346417212109.0,16.18,2.21
000300.SH,20150416,34922791487396.0,26152406541361.0,16.66,2.27
000300.SH,20150417,35657419218336.0,26758385889356.0,16.98,2.32
000300.SH,20150420,34979987591517.0,26320674205792.0,16.66,2.27
000300.SH,20150421,35525044229293.0,26729793009459.0,16.92,2.31
000300.SH,20150422,36331308440066.0,27342320227893.0,17.3,2.36
000300.SH,20150423,36359090250020.0,27384773573901.0,17.3,2.36
000300.SH,20150424,36075767595906.0,27237229013155.0,17.17,2.33
000300.SH,20150427,37256592907361.0,28170053237412.0,17.72,2.41
000300.SH,20150428,37027004188216.0,27940195290940.0,17.48,2.38
000300.SH,20150429,36848970639355.0,27807814638679.0,17.43,2.34
000300.SH,20150430,36459960081995.0,27527524040097.0,17.18,2.25
000300.SH,20150504,36740999839381.0,27743922301863.0,17.31,2.27
000300.SH,20150505,35234753958107.0,26667151701576.0,16.6,2.18
000300.SH,20150506,34784642295803.0,26294323434399.0,16.39,2.15
000300.SH,20150507,33971463915237.0,25670464382995.0,16.01,2.1
000300.SH,20150508,34636238677694.0,26176027309303.0,16.32,2.14
000300.SH,20150511,35525865682314.0,26843326291526.0,16.74,2.2
000300.SH,20150512,35913893761497.0,27098829101609.0,16.92,2.22
000300.SH,20150513,35619607340944.0,26905052364423.0,16.78,2.2
000300.SH,20150514,35521619771420.0,26823037281384.0,16.74,2.2
000300.SH,20150515,34840167687226.0,26360550577386.0,16.42,2.16
000300.SH,20150518,34422508132816.0,26024273971656.0,16.22,2.13
000300.SH,20150519,35543850858338.0,26879090434612.0,16.75,2.2
000300.SH,20150520,35220288528208.0,26579854316632.0,16.65,2.18
000300.SH,20150521,35815930982886.0,27065112359501.0,16.92,2.22
000300.SH,20150522,36764094026035.0,27775612321501.0,17.37,2.28
000300.SH,20150525,37869533489690.0,28641975990163.0,17.9,2.34
000300.SH,20150526,38415862339214.0,29074673309292.0,18.15,2.38
000300.SH,20150527,38427688531452.0,29038257571818.0,18.16,2.38
000300.SH,20150528,35959002322051.0,26977931201468.0,16.99,2.22
000300.SH,20150529,35913856467718.0,26943674170759.0,16.97,2.22
000300.SH,20150601,38032674032768.0,28228923449173.0,17.97,2.34
000300.SH,20150602,38475665107099.0,28573687236142.0,18.18,2.37
000300.SH,20150603,38345857789659.0,28598327063040.0,18.12,2.37
000300.SH,20150604,38842555360009.0,29201164509971.0,18.36,2.39
000300.SH,20150605,39245831916182.0,29571166719808.0,18.55,2.41
000300.SH,20150608,40541288346486.0,30502175649845.0,19.16,2.49
000300.SH,20150609,40286193395171.0,30286233287023.0,19.04,2.48
000300.SH,20150610,39990561746871.0,30058441016328.0,18.9,2.46
000300.SH,20150611,39840762041531.0,29999166145694.0,18.83,2.45
000300.SH,20150612,40059258752173.0,30167533915577.0,18.93,2.47
000300.SH,20150615,40409069804479.0,30079004194070.0,18.96,2.46
000300.SH,20150616,39210987541682.0,29099873985200.0,18.4,2.39
000300.SH,20150617,39846695646043.0,29621710076638.0,18.7,2.43
000300.SH,20150618,38222747973941.0,28418462636072.0,17.94,2.33
000300.SH,20150619,35993610461104.0,26759393332886.0,16.89,2.2
000300.SH,20150623,37185602217082.0,27637496649939.0,17.45,2.27
000300.SH,20150624,38115504778321.0,28266858466137.0,17.89,2.32
000300.SH,20150625,36842369817320.0,27309965295832.0,17.29,2.25
000300.SH,20150626,34250069263822.0,25294844756196.0,16.07,2.09
000300.SH,20150629,33594939080167.0,24795417073940.0,15.76,2.05
000300.SH,20150630,35680479162116.0,26326471385368.0,16.74,2.18
000300.SH,20150701,33878667624941.0,25063688938351.0,15.9,2.07
000300.SH,20150702,33315420840766.0,24581036641508.0,15.63,2.04
000300.SH,20150703,31601005588509.0,23338214575519.0,14.83,1.95
000300.SH,20150706,33049836448296.0,24382541130634.0,15.51,2.04
000300.SH,20150707,33320511380226.0,24423267025189.0,15.64,2.06
000300.SH,20150708,31304216555002.0,22964633268635.0,14.69,1.94
000300.SH,20150709,33079993020678.0,24333059484349.0,15.52,2.05
000300.SH,20150710,34416892514378.0,25345165091996.0,16.15,2.14
000300.SH,20150713,34620946308425.0,25555144262511.0,16.25,2.15
000300.SH,20150714,33764698102951.0,24923714530966.0,15.84,2.1
000300.SH,20150715,33171661298565.0,24501764532184.0,15.57,2.06
000300.SH,20150716,33255573372403.0,24545029946787.0,15.61,2.06
000300.SH,20150717,34126372586556.0,25204141748395.0,16.01,2.12
000300.SH,20150720,34285165395473.0,25374605089383.0,16.09,2.13
000300.SH,20150721,34243331954004.0,25356693490741.0,16.07,2.13
000300.SH,20150722,34124252158673.0,25280111366246.0,16.01,2.12
000300.SH,20150723,34751255928282.0,25741346301530.0,16.31,2.16
000300.SH,20150724,34239381492046.0,25365089686519.0,16.07,2.13
000300.SH,20150727,31323604945795.0,22992650333232.0,14.7,1.95
000300.SH,20150728,31160355463372.0,23001623714664.0,14.62,1.93
000300.SH,20150729,31924353886351.0,23603545979873.0,14.98,1.98
000300.SH,20150730,31107340865966.0,23022125855384.0,14.6,1.93
000300.SH,20150731,30998672922328.0,22914331218128.0,14.55,1.92
000300.SH,20150803,31088682771462.0,22923065339283.0,14.59,1.93
000300.SH,20150804,31884658189469.0,23550355491139.0,14.96,1.98
000300.SH,20150805,31226654876490.0,23092056563323.0,14.65,1.94
000300.SH,20150806,30931045892906.0,22869338886485.0,14.51,1.92
000300.SH,20150807,31122734507635.0,22975163823853.0,14.67,1.95
000300.SH,20150810,32826980383052.0,24319980594634.0,15.4,2.04
000300.SH,20150811,32666281914696.0,24226263863125.0,15.33,2.02
000300.SH,20150812,32278932143802.0,23951332167444.0,15.15,2.0
000300.SH,20150813,32669294153438.0,24241302107847.0,15.33,2.02
000300.SH,20150814,32611338235686.0,24197328966297.0,15.3,2.02
000300.SH,20150817,32543358207778.0,24129423615005.0,15.27,2.02
000300.SH,20150818,30855072479698.0,22884763008142.0,14.48,1.91
000300.SH,20150819,31069943012128.0,23070840302904.0,14.58,1.93
000300.SH,20150820,30139991818271.0,22343611243938.0,14.14,1.87
000300.SH,20150821,28944765595195.0,21463422707577.0,13.58,1.79
000300.SH,20150824,26457424149160.0,19676632979599.0,12.42,1.64
000300.SH,20150825,24506317599993.0,18218444734303.0,11.5,1.51
000300.SH,20150826,24528397914538.0,18191772256271.0,11.51,1.51
000300.SH,20150827,25939905239494.0,19216772216185.0,12.17,1.59
000300.SH,20150828,26933636330121.0,19988315866342.0,12.64,1.63
000300.SH,20150831,27085083997646.0,20126325017420.0,12.71,1.62
000300.SH,20150901,27474464096794.0,20333541732286.0,12.89,1.64
000300.SH,20150902,27813288163383.0,20503560450647.0,13.05,1.66
000300.SH,20150907,26616157275959.0,19679286097529.0,12.49,1.59
000300.SH,20150908,27170253414382.0,20091181809664.0,12.75,1.62
000300.SH,20150909,27655549741540.0,20465516137483.0,12.98,1.65
000300.SH,20150910,27337593201390.0,20260608402063.0,12.83,1.63
000300.SH,20150911,27200589385373.0,20163448132611.0,12.76,1.63
000300.SH,20150914,26781147484592.0,19852187905568.0,12.57,1.6
000300.SH,20150915,25991532796543.0,19247888570210.0,12.2,1.55
000300.SH,20150916,27061560050480.0,20056118818383.0,12.7,1.62
000300.SH,20150917,26526678356730.0,19664133395975.0,12.45,1.59
000300.SH,20150918,26551413626459.0,19676110282704.0,12.46,1.59
000300.SH,20150921,26884846258028.0,19940796293512.0,12.62,1.61
000300.SH,20150922,27128451319686.0,20113441296962.0,12.73,1.62
000300.SH,20150923,26498906692305.0,19647917958153.0,12.43,1.59
000300.SH,20150924,26639308129240.0,19759624688790.0,12.5,1.59
000300.SH,20150925,26356404193102.0,19543509135187.0,12.37,1.58
000300.SH,20150928,26348727132203.0,19535866462059.0,12.36,1.58
