Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pmonret_tmv,Pmonret_mc
0,A,3,3,2015-01-30,86,0.0792,0.0955
0,A,4,2,2015-01-30,95,0.0994,0.1002
0,A,2,4,2015-01-30,98,0.0632,0.0770
0,A,1,5,2015-01-30,59,0.0725,0.0764
0,A,5,5,2015-01-30,123,-0.0184,-0.0066
0,A,5,1,2015-01-30,143,0.1092,0.1107
0,A,4,5,2015-01-30,90,0.0023,-0.0147
0,A,3,5,2015-01-30,89,0.0360,0.0273
0,A,2,5,2015-01-30,95,0.0575,0.0290
0,A,5,4,2015-01-30,58,0.0881,0.0324
0,A,4,4,2015-01-30,86,0.0447,0.0524
0,A,3,4,2015-01-30,98,0.0661,0.0758
0,A,1,4,2015-01-30,104,0.0933,0.1040
0,A,5,3,2015-01-30,69,0.0365,0.0719
0,A,4,3,2015-01-30,74,0.0662,0.0761
0,A,2,3,2015-01-30,93,0.0989,0.0857
0,A,1,3,2015-01-30,107,0.1266,0.1149
0,A,5,2,2015-01-30,64,0.0699,0.0722
0,A,3,2,2015-01-30,102,0.1155,0.1018
0,A,2,2,2015-01-30,92,0.1055,0.1188
0,A,1,2,2015-01-30,79,0.0941,0.1041
0,A,4,1,2015-01-30,108,0.1324,0.1160
0,A,3,1,2015-01-30,70,0.0663,0.1110
0,A,2,1,2015-01-30,47,0.0602,0.0172
0,A,1,1,2015-01-30,72,0.0987,0.0932
0,A,5,5,2015-02-27,121,0.0204,0.0195
0,A,3,5,2015-02-27,85,0.0373,0.0525
0,A,2,5,2015-02-27,94,0.0798,0.0605
0,A,1,5,2015-02-27,59,0.0896,0.0784
0,A,4,4,2015-02-27,88,0.0934,0.0640
0,A,3,4,2015-02-27,97,0.0869,0.0593
0,A,2,4,2015-02-27,97,0.0777,0.0614
0,A,5,3,2015-02-27,69,0.0599,0.0707
0,A,4,3,2015-02-27,73,0.0648,0.0941
0,A,3,3,2015-02-27,86,0.0599,0.0840
0,A,1,3,2015-02-27,104,0.0925,0.1002
0,A,5,2,2015-02-27,65,0.0787,0.0896
0,A,4,2,2015-02-27,91,0.0980,0.1022
0,A,2,2,2015-02-27,94,0.0998,0.0813
0,A,1,2,2015-02-27,76,0.0895,0.0821
0,A,5,1,2015-02-27,143,0.0748,0.0880
0,A,4,1,2015-02-27,102,0.1044,0.0983
0,A,3,1,2015-02-27,68,0.0817,0.1237
0,A,2,1,2015-02-27,48,0.0877,0.0518
0,A,1,1,2015-02-27,71,0.0867,0.1115
0,A,3,2,2015-02-27,99,0.1060,0.1121
0,A,2,3,2015-02-27,92,0.0971,0.0977
0,A,1,4,2015-02-27,101,0.0881,0.0988
0,A,5,4,2015-02-27,58,0.0428,0.0546
0,A,4,5,2015-02-27,88,0.0479,0.0589
0,A,2,2,2015-03-31,99,0.2507,0.3116
0,A,5,3,2015-03-31,69,0.1460,0.1279
0,A,4,4,2015-03-31,90,0.2070,0.2253
0,A,3,5,2015-03-31,87,0.2171,0.2179
0,A,5,5,2015-03-31,123,0.1103,0.1343
0,A,4,5,2015-03-31,87,0.2228,0.2392
0,A,2,5,2015-03-31,96,0.2276,0.2237
0,A,1,5,2015-03-31,60,0.2823,0.2641
0,A,5,4,2015-03-31,58,0.1956,0.1700
0,A,3,4,2015-03-31,98,0.2250,0.2324
0,A,2,4,2015-03-31,97,0.2718,0.2562
0,A,1,4,2015-03-31,103,0.3081,0.2809
0,A,4,3,2015-03-31,72,0.2293,0.2343
0,A,3,3,2015-03-31,86,0.2317,0.2299
0,A,2,3,2015-03-31,91,0.2430,0.2698
0,A,1,3,2015-03-31,102,0.2850,0.2675
0,A,5,2,2015-03-31,68,0.1556,0.1640
0,A,4,2,2015-03-31,90,0.2275,0.2776
0,A,3,2,2015-03-31,97,0.2983,0.2680
0,A,1,2,2015-03-31,79,0.2799,0.3198
0,A,5,1,2015-03-31,141,0.1716,0.1717
0,A,4,1,2015-03-31,103,0.2869,0.2596
0,A,3,1,2015-03-31,69,0.1978,0.2246
0,A,2,1,2015-03-31,48,0.2396,0.1926
0,A,1,1,2015-03-31,72,0.2498,0.2483
0,A,5,5,2015-04-30,122,0.2573,0.2753
0,A,4,5,2015-04-30,89,0.1868,0.1853
