Exchflg,Mktflg,Sizeflg,BMflg,Date,SampSize,Pdret_tmv,Pdret_mc
0,A,1,1,2015-01-05,84,0.0093,0.0095
0,A,2,1,2015-01-05,53,0.0030,-0.0387
0,A,3,1,2015-01-05,75,-0.0019,-0.0024
0,A,4,1,2015-01-05,111,-0.0007,0.0004
0,A,5,1,2015-01-05,146,0.0195,0.0183
0,A,1,2,2015-01-05,88,0.0102,0.0059
0,A,2,2,2015-01-05,108,-0.0022,-0.0003
0,A,3,2,2015-01-05,107,0.0049,-0.0064
0,A,4,2,2015-01-05,97,0.0091,0.0042
0,A,5,2,2015-01-05,69,0.0436,0.0327
0,A,1,3,2015-01-05,119,0.0065,0.0014
0,A,2,3,2015-01-05,107,0.0148,0.0002
0,A,3,3,2015-01-05,96,0.0114,0.0156
0,A,4,3,2015-01-05,78,0.0117,0.0147
0,A,5,3,2015-01-05,70,0.0428,0.0443
0,A,1,4,2015-01-05,113,0.0013,0.0119
0,A,2,4,2015-01-05,104,0.0077,0.0124
0,A,3,4,2015-01-05,100,0.0203,0.0132
0,A,4,4,2015-01-05,92,0.0205,0.0167
0,A,5,4,2015-01-05,60,0.0453,0.0384
0,A,1,5,2015-01-05,65,0.0032,0.0125
0,A,2,5,2015-01-05,97,0.0148,0.0207
0,A,3,5,2015-01-05,92,0.0173,0.0294
0,A,4,5,2015-01-05,91,0.0309,0.0322
0,A,5,5,2015-01-05,125,0.0675,0.0620
0,A,1,1,2015-01-06,84,0.0123,0.0170
0,A,2,1,2015-01-06,53,0.0163,0.0147
0,A,3,1,2015-01-06,75,0.0215,0.0297
0,A,4,1,2015-01-06,111,0.0257,0.0252
0,A,5,1,2015-01-06,146,0.0351,0.0325
0,A,1,2,2015-01-06,88,0.0211,0.0224
0,A,2,2,2015-01-06,108,0.0218,0.0256
0,A,3,2,2015-01-06,107,0.0250,0.0276
0,A,4,2,2015-01-06,97,0.0241,0.0205
0,A,5,2,2015-01-06,69,0.0132,0.0204
0,A,1,3,2015-01-06,119,0.0233,0.0211
0,A,2,3,2015-01-06,107,0.0176,0.0199
0,A,3,3,2015-01-06,96,0.0139,0.0182
0,A,4,3,2015-01-06,78,0.0128,0.0198
0,A,5,3,2015-01-06,70,0.0121,0.0142
0,A,1,4,2015-01-06,113,0.0180,0.0200
0,A,2,4,2015-01-06,104,0.0112,0.0109
0,A,3,4,2015-01-06,100,0.0104,0.0132
0,A,4,4,2015-01-06,92,0.0126,0.0112
0,A,5,4,2015-01-06,60,0.0174,0.0068
0,A,1,5,2015-01-06,65,0.0122,0.0059
0,A,2,5,2015-01-06,97,0.0109,0.0026
0,A,3,5,2015-01-06,92,0.0058,-0.0037
0,A,4,5,2015-01-06,91,-0.0005,-0.0028
0,A,5,5,2015-01-06,125,-0.0090,-0.0049
0,A,1,1,2015-01-07,84,0.0106,0.0059
0,A,2,1,2015-01-07,53,0.0038,0.0035
0,A,3,1,2015-01-07,75,-0.0042,0.0041
0,A,4,1,2015-01-07,111,0.0014,-0.0025
0,A,5,1,2015-01-07,146,-0.0085,-0.0079
0,A,1,2,2015-01-07,88,-0.0039,-0.0028
0,A,2,2,2015-01-07,108,-0.0015,0.0005
0,A,3,2,2015-01-07,107,-0.0002,0.0001
0,A,4,2,2015-01-07,97,0.0020,-0.0034
0,A,5,2,2015-01-07,69,-0.0059,-0.0104
0,A,1,3,2015-01-07,119,-0.0008,-0.0027
0,A,2,3,2015-01-07,107,0.0013,0.0013
0,A,3,3,2015-01-07,96,0.0028,-0.0027
0,A,4,3,2015-01-07,78,0.0005,0.0010
0,A,5,3,2015-01-07,70,-0.0015,-0.0022
0,A,1,4,2015-01-07,113,-0.0034,-0.0021
0,A,2,4,2015-01-07,104,0.0010,0.0058
0,A,3,4,2015-01-07,100,-0.0030,0.0001
0,A,4,4,2015-01-07,92,0.0002,0.0003
0,A,5,4,2015-01-07,60,0.0072,0.0007
0,A,1,5,2015-01-07,65,-0.0016,0.0050
0,A,2,5,2015-01-07,97,0.0007,0.0004
0,A,3,5,2015-01-07,92,0.0049,0.0031
0,A,4,5,2015-01-07,91,0.0044,0.0020
0,A,5,5,2015-01-07,125,0.0213,0.0213
0,A,1,1,2015-01-08,84,-0.0001,-0.0016
0,A,2,1,2015-01-08,53,-0.0023,0.0003
0,A,3,1,2015-01-08,75,-0.0035,0.0020
0,A,4,1,2015-01-08,111,0.0074,0.0047
0,A,5,1,2015-01-08,146,0.0018,0.0021
0,A,1,2,2015-01-08,88,0.0016,0.0040
0,A,2,2,2015-01-08,108,0.0033,0.0021
0,A,3,2,2015-01-08,107,0.0021,0.0022
0,A,4,2,2015-01-08,97,-0.0021,-0.0005
0,A,5,2,2015-01-08,69,-0.0034,-0.0054
0,A,1,3,2015-01-08,119,0.0066,0.0053
0,A,2,3,2015-01-08,107,-0.0019,0.0042
0,A,3,3,2015-01-08,96,-0.0067,0.0019
0,A,4,3,2015-01-08,78,-0.0095,-0.0037
0,A,5,3,2015-01-08,70,-0.0095,-0.0035
0,A,1,4,2015-01-08,113,-0.0012,-0.0023
0,A,2,4,2015-01-08,104,-0.0045,-0.0108
0,A,3,4,2015-01-08,100,-0.0058,-0.0064
0,A,4,4,2015-01-08,92,-0.0131,-0.0124
0,A,5,4,2015-01-08,60,-0.0013,-0.0130
0,A,1,5,2015-01-08,65,-0.0038,-0.0004
0,A,2,5,2015-01-08,97,-0.0046,-0.0143
0,A,3,5,2015-01-08,92,-0.0153,-0.0198
0,A,4,5,2015-01-08,91,-0.0202,-0.0236
0,A,5,5,2015-01-08,125,-0.0294,-0.0255
0,A,1,1,2015-01-09,84,-0.0094,-0.0090
0,A,2,1,2015-01-09,53,-0.0123,-0.0139
0,A,3,1,2015-01-09,75,-0.0053,-0.0079
0,A,4,1,2015-01-09,111,-0.0003,-0.0024
0,A,5,1,2015-01-09,146,-0.0031,-0.0010
0,A,1,2,2015-01-09,88,-0.0035,-0.0029
0,A,2,2,2015-01-09,108,-0.0051,-0.0072
0,A,3,2,2015-01-09,107,-0.0084,-0.0072
0,A,4,2,2015-01-09,97,-0.0061,-0.0040
0,A,5,2,2015-01-09,69,-0.0081,-0.0052
0,A,1,3,2015-01-09,119,-0.0129,-0.0081
0,A,2,3,2015-01-09,107,-0.0089,-0.0114
0,A,3,3,2015-01-09,96,-0.0080,-0.0092
0,A,4,3,2015-01-09,78,-0.0135,-0.0083
0,A,5,3,2015-01-09,70,-0.0158,-0.0136
0,A,1,4,2015-01-09,113,-0.0083,-0.0101
0,A,2,4,2015-01-09,104,-0.0075,-0.0090
0,A,3,4,2015-01-09,100,-0.0088,-0.0103
0,A,4,4,2015-01-09,92,-0.0092,-0.0096
0,A,5,4,2015-01-09,60,-0.0037,-0.0150
0,A,1,5,2015-01-09,65,-0.0073,-0.0095
0,A,2,5,2015-01-09,97,-0.0096,-0.0113
0,A,3,5,2015-01-09,92,-0.0081,-0.0106
0,A,4,5,2015-01-09,91,-0.0122,-0.0129
0,A,5,5,2015-01-09,125,-0.0139,-0.0105
0,A,1,1,2015-01-12,84,-0.0161,-0.0177
0,A,2,1,2015-01-12,53,-0.0131,0.0097
0,A,3,1,2015-01-12,75,-0.0158,-0.0156
0,A,4,1,2015-01-12,111,-0.0050,-0.0008
0,A,5,1,2015-01-12,146,0.0116,0.0100
0,A,1,2,2015-01-12,88,-0.0131,-0.0107
0,A,2,2,2015-01-12,108,-0.0122,-0.0083
0,A,3,2,2015-01-12,107,-0.0074,-0.0091
0,A,4,2,2015-01-12,97,-0.0140,-0.0127
0,A,5,2,2015-01-12,69,-0.0036,0.0036
0,A,1,3,2015-01-12,119,-0.0144,-0.0149
0,A,2,3,2015-01-12,107,-0.0165,-0.0165
0,A,3,3,2015-01-12,96,-0.0168,-0.0140
0,A,4,3,2015-01-12,78,-0.0164,-0.0133
0,A,5,3,2015-01-12,70,-0.0157,-0.0030
0,A,1,4,2015-01-12,113,-0.0223,-0.0204
0,A,2,4,2015-01-12,104,-0.0231,-0.0200
0,A,3,4,2015-01-12,100,-0.0234,-0.0208
0,A,4,4,2015-01-12,92,-0.0189,-0.0176
0,A,5,4,2015-01-12,60,-0.0154,-0.0236
0,A,1,5,2015-01-12,65,-0.0170,-0.0256
0,A,2,5,2015-01-12,97,-0.0230,-0.0314
0,A,3,5,2015-01-12,92,-0.0211,-0.0275
0,A,4,5,2015-01-12,91,-0.0260,-0.0273
0,A,5,5,2015-01-12,125,-0.0304,-0.0295
0,A,1,1,2015-01-13,84,0.0165,0.0207
0,A,2,1,2015-01-13,53,0.0169,0.0309
0,A,3,1,2015-01-13,75,0.0179,0.0219
0,A,4,1,2015-01-13,111,0.0155,0.0200
0,A,5,1,2015-01-13,146,0.0199,0.0165
0,A,1,2,2015-01-13,88,0.0181,0.0137
0,A,2,2,2015-01-13,108,0.0190,0.0212
0,A,3,2,2015-01-13,107,0.0230,0.0246
0,A,4,2,2015-01-13,97,0.0221,0.0210
0,A,5,2,2015-01-13,69,0.0138,0.0180
0,A,1,3,2015-01-13,119,0.0252,0.0189
0,A,2,3,2015-01-13,107,0.0176,0.0224
0,A,3,3,2015-01-13,96,0.0150,0.0165
0,A,4,3,2015-01-13,78,0.0160,0.0224
0,A,5,3,2015-01-13,70,0.0062,0.0124
0,A,1,4,2015-01-13,113,0.0188,0.0189
0,A,2,4,2015-01-13,104,0.0162,0.0176
0,A,3,4,2015-01-13,100,0.0161,0.0182
0,A,4,4,2015-01-13,92,0.0111,0.0154
0,A,5,4,2015-01-13,60,0.0096,0.0025
0,A,1,5,2015-01-13,65,0.0169,0.0121
0,A,2,5,2015-01-13,97,0.0145,0.0112
0,A,3,5,2015-01-13,92,0.0125,0.0108
0,A,4,5,2015-01-13,91,0.0101,0.0090
0,A,5,5,2015-01-13,125,0.0019,0.0020
0,A,1,1,2015-01-14,84,-0.0011,-0.0071
0,A,2,1,2015-01-14,53,-0.0097,-0.0171
0,A,3,1,2015-01-14,75,-0.0095,-0.0057
0,A,4,1,2015-01-14,111,-0.0009,-0.0090
0,A,5,1,2015-01-14,146,-0.0102,-0.0108
0,A,1,2,2015-01-14,88,-0.0053,-0.0024
0,A,2,2,2015-01-14,108,-0.0003,-0.0031
0,A,3,2,2015-01-14,107,-0.0068,-0.0020
0,A,4,2,2015-01-14,97,-0.0062,-0.0018
0,A,5,2,2015-01-14,69,-0.0080,-0.0079
0,A,1,3,2015-01-14,119,0.0019,0.0002
0,A,2,3,2015-01-14,107,0.0000,-0.0030
0,A,3,3,2015-01-14,96,-0.0005,-0.0057
0,A,4,3,2015-01-14,78,-0.0041,-0.0087
0,A,5,3,2015-01-14,70,-0.0108,-0.0108
0,A,1,4,2015-01-14,113,0.0008,0.0022
0,A,2,4,2015-01-14,104,-0.0056,-0.0009
0,A,3,4,2015-01-14,100,-0.0057,0.0006
0,A,4,4,2015-01-14,92,-0.0101,-0.0054
