MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9705	2018-09-28	.009969	.009969	.002186	.001951	.000411	.001678
P9706	2018-09-28	.009969	.009969	-.001773	-.001057	.000791	.000325
P9707	2018-09-28	.006969	.007969	.002606	.002053	-.001008	-.000758
P9709	2018-09-28	.009969	.009969	-.001509	-.000855	.000967	.000715
P9710	2018-09-28	.009969	.009969	-.001643	-.001054	.000986	.000769
P9705	2018-09-27	-.018031	-.018031	-.010803	-.011075	-.005124	-.007260
P9706	2018-09-27	-.005031	-.007031	-.013404	-.013326	.003894	.004377
P9707	2018-09-27	-.006031	-.005031	.003843	.004662	-.001468	.002626
P9709	2018-09-27	-.006031	-.008031	-.014799	-.014900	.004041	.004238
P9710	2018-09-27	-.006031	-.008031	-.014432	-.014638	.003835	.004049
P9705	2018-09-26	.007969	.009969	-.004066	-.003764	-.004697	-.004168
P9706	2018-09-26	.008969	.008969	-.007667	-.007049	-.003524	-.002973
P9707	2018-09-26	.001969	.002969	.002626	.001897	-.004737	-.002692
P9709	2018-09-26	.008969	.008969	-.007291	-.006756	-.003499	-.003066
P9710	2018-09-26	.008969	.008969	-.007086	-.006566	-.003494	-.003057
P9705	2018-09-25	-.004031	-.003031	.000067	.001011	.002406	.002304
P9706	2018-09-25	-.007031	-.007031	.002973	.003065	-.001322	-.001708
P9707	2018-09-25	-.010031	-.009031	.005969	.003866	-.005895	-.004678
P9709	2018-09-25	-.007031	-.006031	.002856	.003079	-.001310	-.001633
P9710	2018-09-25	-.007031	-.006031	.002850	.003078	-.001403	-.001662
P9705	2018-09-21	.013969	.014969	-.005041	-.005435	.001683	.001292
P9706	2018-09-21	.026969	.025969	-.019241	-.018335	.002604	.002390
P9707	2018-09-21	.015969	.015969	-.008893	-.009025	-.003234	-.003056
P9709	2018-09-21	.025969	.024969	-.018374	-.017377	.003118	.002895
P9710	2018-09-21	.025969	.024969	-.018201	-.017240	.003046	.002809
P9705	2018-09-20	-.004031	-.004031	-.002163	-.004484	-.002530	-.000413
P9706	2018-09-20	-.000031	-.000031	-.000428	-.000451	.000871	.000866
P9707	2018-09-20	-.002031	-.002031	.001004	.000889	-.000579	-.000562
P9709	2018-09-20	-.000031	-.001031	-.000966	-.001433	.000906	.001328
P9710	2018-09-20	-.000031	-.001031	-.000906	-.001355	.000795	.001237
P9705	2018-09-19	.010969	.011969	.002413	.002114	-.002660	-.003690
P9706	2018-09-19	.012969	.012969	-.003385	-.003263	-.003005	-.002299
P9707	2018-09-19	.007969	.007969	.000803	.000183	-.001967	-.002492
P9709	2018-09-19	.012969	.012969	-.002661	-.002513	-.003171	-.002809
P9710	2018-09-19	.012969	.012969	-.002585	-.002464	-.003120	-.002793
P9705	2018-09-18	.019969	.020969	.001004	-.000849	-.005305	-.004594
