date,rate1,rate7,rate_country1,rate_country10
2015-01-04,3.63,4.8276,3.2566,3.6405
2015-01-05,3.3876,4.725,3.2568,3.6406
2015-01-06,3.0513,4.3117,3.2642,3.6456
2015-01-07,2.9051,3.9453,3.2088,3.6505
2015-01-08,2.8431,3.9529,3.1959,3.6457
2015-01-09,2.8113,4.1546,3.1944,3.6556
2015-01-12,2.7686,4.0502,3.1953,3.6607
2015-01-13,2.6916,3.9627,3.2109,3.6311
2015-01-14,2.6675,3.9714,3.2060000000000004,3.572
2015-01-15,2.6674,4.0048,3.21,3.5473
2015-01-16,2.6681,3.9988,3.2036,3.4932
2015-01-19,2.7368,3.9869,3.1947,3.4935
2015-01-20,2.7229,3.7722,3.1917,3.4935
2015-01-21,2.8429,4.5098,3.1839999999999997,3.4977
2015-01-22,2.7866,4.1605,3.1728,3.4829
2015-01-23,2.7517,4.1528,3.1756,3.4904
2015-01-26,2.7132,4.0034,3.1658,3.4832
2015-01-27,2.7356,3.9416,3.1212,3.4632
2015-01-28,2.7143,4.2093,3.1076,3.4977
2015-01-29,2.7882,4.3646,3.1192,3.5103
2015-01-30,2.8593,4.2511,3.1549,3.5374
2015-02-02,2.932,4.6157,3.0945,3.4675
2015-02-03,2.9823,4.3829,3.0945,3.455
2015-02-04,2.9962,4.5914,3.0902,3.455
2015-02-05,2.8927,4.6282,3.074,3.3988
2015-02-06,2.8704,4.5547,3.0806,3.429
2015-02-09,2.8479,4.5988,3.0865,3.415
2015-02-10,2.9303,4.7089,3.0796,3.4225
2015-02-11,3.1435,4.5512,3.0832,3.3988
2015-02-12,3.1747,4.8656,3.0882,3.3725
2015-02-13,3.2166,4.8305,3.0896,3.365
2015-02-15,3.2783,4.8479,3.0661,3.3325
2015-02-16,3.3077,4.9941,3.0834,3.335
2015-02-17,3.4991,4.7633,3.0831,3.325
2015-02-25,3.3813,4.8725,3.0477,3.3276
2015-02-26,3.4014,5.0842,3.0519,3.365
2015-02-27,3.4857,5.1648,3.0599,3.37
2015-02-28,3.5223,4.8713,3.0503,3.3775
2015-03-02,3.5041,4.9665,3.0802,3.3988
2015-03-03,3.4722,4.9688,3.0855,3.4285
2015-03-04,3.4797,4.9152,3.0899,3.4332
2015-03-05,3.4607,4.9003,3.1077,3.4729
2015-03-06,3.4289,5.155,3.1179,3.4846
2015-03-09,3.3806,5.2036,3.1193,3.5215
2015-03-10,3.3802,5.0676,3.1374,3.502
2015-03-11,3.3824,5.1695,3.1424,3.4679
2015-03-12,3.5145,5.0132,3.137,3.4412
2015-03-13,3.5345,5.1758,3.1495,3.4632
2015-03-16,3.4598,4.9759,3.1496,3.5049
2015-03-17,3.3686,4.8432,3.161,3.5269
2015-03-18,3.3971,4.9261,3.1545,3.5123
2015-03-19,3.3572,4.6386,3.1739,3.5514
2015-03-20,3.3392,4.5343,3.1615,3.5198
2015-03-23,3.2528,4.4156,3.1689999999999996,3.5078
2015-03-24,3.2695,4.2291,3.1731,3.4957
2015-03-25,3.2460000000000004,4.0999,3.1789,3.5141
2015-03-26,3.2593,4.0584,3.1779,3.5606
2015-03-27,3.2461,4.1284,3.2018,3.5788
2015-03-30,3.2359,4.0749,3.1904,3.6021
2015-03-31,3.2387,4.0282,3.216,3.6216
2015-04-01,3.0866,3.8461,3.2345,3.6073
2015-04-02,3.015,3.7684,3.1886,3.5744
2015-04-03,2.9247,3.7007,3.1862,3.5732
2015-04-07,2.7881,3.5111,3.1896,3.588
2015-04-08,2.7041,3.4062,3.1905,3.6124
2015-04-09,2.6472,3.4305,3.1906,3.6916
2015-04-10,2.5264,3.3567,3.1546,3.6965
2015-04-13,2.4502,3.5227,3.147,3.6894
2015-04-14,2.4086,3.3329,3.1438,3.619
2015-04-15,2.3529,3.2136,3.1232,3.6045
2015-04-16,2.3859,3.1169,3.093,3.6216
