date,exs
2015-01-05,6.22
2015-01-06,6.213
2015-01-07,6.2125
2015-01-08,6.2145
2015-01-09,6.2086
2015-01-12,6.2036
2015-01-13,6.1983
2015-01-14,6.1957
2015-01-15,6.1881
2015-01-16,6.2066
2015-01-19,6.2203
2015-01-20,6.2142
2015-01-21,6.2115
2015-01-22,6.2095
2015-01-23,6.2288
2015-01-26,6.2542
2015-01-27,6.2435
2015-01-28,6.248
2015-01-29,6.2469
2015-01-30,6.251
2015-02-02,6.2597
2015-02-03,6.2581
2015-02-04,6.2477
2015-02-05,6.2521
2015-02-06,6.2447
2015-02-09,6.2472
2015-02-10,6.2416
2015-02-11,6.2427
2015-02-12,6.2454
2015-02-13,6.2405
2015-02-16,6.2485
2015-02-17,6.2551
2015-02-25,6.2598
2015-02-26,6.2589
2015-02-27,6.2696
2015-03-02,6.273
2015-03-03,6.2743
2015-03-04,6.2709
2015-03-05,6.2662
2015-03-06,6.2629
2015-03-09,6.2644
2015-03-10,6.262
2015-03-11,6.2623
2015-03-12,6.2624
2015-03-13,6.2595
2015-03-16,6.2624
2015-03-17,6.2499
2015-03-18,6.2294
2015-03-19,6.1961
2015-03-20,6.2062
2015-03-23,6.216
2015-03-24,6.2053
2015-03-25,6.2125
2015-03-26,6.2124
2015-03-27,6.2167
2015-03-30,6.2077
2015-03-31,6.1996
2015-04-01,6.198
2015-04-02,6.197
2015-04-03,6.195
2015-04-07,6.1983
2015-04-08,6.2032
2015-04-09,6.206
2015-04-10,6.208
2015-04-13,6.2167
2015-04-14,6.2118
2015-04-15,6.2052
2015-04-16,6.1967
2015-04-17,6.1978
2015-04-20,6.2015
2015-04-21,6.2016
2015-04-22,6.195
2015-04-23,6.198
2015-04-24,6.195
2015-04-27,6.2206
2015-04-28,6.2057
2015-04-29,6.1997
2015-04-30,6.2028
2015-05-04,6.209
2015-05-05,6.2062
2015-05-06,6.2007
2015-05-07,6.2069
2015-05-08,6.2094
2015-05-11,6.2096
2015-05-12,6.2092
2015-05-13,6.2044
2015-05-14,6.2012
2015-05-15,6.2061
2015-05-18,6.2043
2015-05-19,6.2066
2015-05-20,6.2038
2015-05-21,6.1968
2015-05-22,6.1976
2015-05-25,6.202
2015-05-26,6.204
2015-05-27,6.2014
2015-05-28,6.2012
2015-05-29,6.1985
2015-06-01,6.1995
2015-06-02,6.1984
2015-06-03,6.1976
2015-06-04,6.201
2015-06-05,6.2034
2015-06-08,6.2056
2015-06-09,6.2057
2015-06-10,6.2061
2015-06-11,6.2065
2015-06-12,6.2081
2015-06-15,6.209
2015-06-16,6.2084
2015-06-17,6.2096
2015-06-18,6.2075
2015-06-19,6.2095
2015-06-23,6.2068
2015-06-24,6.2071
2015-06-25,6.2094
2015-06-26,6.209
2015-06-29,6.2087
2015-06-30,6.201
2015-07-01,6.2011
2015-07-02,6.2049
2015-07-03,6.2057
2015-07-06,6.2092
2015-07-07,6.21
2015-07-08,6.2094
2015-07-09,6.2088
2015-07-10,6.2092
2015-07-13,6.2084
2015-07-14,6.2089
2015-07-15,6.2092
2015-07-16,6.2095
2015-07-17,6.2095
2015-07-20,6.2097
2015-07-21,6.2096
2015-07-22,6.2095
2015-07-23,6.2095
2015-07-24,6.2095
2015-07-27,6.2095
2015-07-28,6.2094
2015-07-29,6.2091
2015-07-30,6.2096
2015-07-31,6.2097
2015-08-03,6.2097
2015-08-04,6.2096
2015-08-05,6.2096
2015-08-06,6.2097
2015-08-07,6.2097
2015-08-10,6.2097
2015-08-11,6.3231
2015-08-12,6.387
2015-08-13,6.399
2015-08-14,6.3918
2015-08-17,6.3947
2015-08-18,6.3938
2015-08-19,6.3955
2015-08-20,6.389
2015-08-21,6.3887
2015-08-24,6.4044
2015-08-25,6.4124
2015-08-26,6.4105
2015-08-27,6.4053
2015-08-28,6.3885
2015-08-31,6.3763
2015-09-01,6.3645
2015-09-02,6.3559
2015-09-07,6.3659
2015-09-08,6.3672
2015-09-09,6.3778
2015-09-10,6.3772
2015-09-11,6.375
2015-09-14,6.3679
2015-09-15,6.37
2015-09-16,6.3709
2015-09-17,6.366
2015-09-18,6.3643
2015-09-21,6.3691
2015-09-22,6.376
2015-09-23,6.3839
2015-09-24,6.3828
2015-09-25,6.3744
2015-09-28,6.369
2015-09-29,6.3636
2015-09-30,6.3571
2015-10-08,6.3537
2015-10-09,6.3453
2015-10-12,6.323
2015-10-13,6.3429
2015-10-14,6.3477
2015-10-15,6.346
2015-10-16,6.3529
2015-10-19,6.3601
2015-10-20,6.3488
2015-10-21,6.3482
2015-10-22,6.3574
2015-10-23,6.35
2015-10-26,6.3529
2015-10-27,6.3532
2015-10-28,6.3592
2015-10-29,6.3567
2015-10-30,6.3175
2015-11-02,6.3379
2015-11-03,6.3366
2015-11-04,6.336
2015-11-05,6.3466
2015-11-06,6.353
2015-11-09,6.3622
2015-11-10,6.3618
2015-11-11,6.3665
2015-11-12,6.3692
2015-11-13,6.374
2015-11-16,6.3724
2015-11-17,6.3786
2015-11-18,6.3849
2015-11-19,6.384
2015-11-20,6.385
2015-11-23,6.3896
2015-11-24,6.3895
2015-11-25,6.3892
2015-11-26,6.3896
2015-11-27,6.3952
2015-11-30,6.3981
2015-12-01,6.3986
2015-12-02,6.3988
2015-12-03,6.3972
2015-12-04,6.402
2015-12-07,6.4082
2015-12-08,6.4172
2015-12-09,6.428
2015-12-10,6.4378
2015-12-11,6.4553
2015-12-14,6.4591
2015-12-15,6.461
2015-12-16,6.4733
2015-12-17,6.4837
2015-12-18,6.4815
2015-12-21,6.4808
2015-12-22,6.4788
2015-12-23,6.4778
2015-12-24,6.4768
2015-12-25,6.4763
2015-12-28,6.488
2015-12-29,6.4852
2015-12-30,6.4902
2015-12-31,6.4936
2016-01-04,6.5172
2016-01-05,6.5199
2016-01-06,6.5575
2016-01-07,6.5939
2016-01-08,6.5888
2016-01-11,6.5822
2016-01-12,6.575
2016-01-13,6.575
2016-01-14,6.5887
2016-01-15,6.5873
2016-01-18,6.5793
2016-01-19,6.5782
2016-01-20,6.5796
2016-01-21,6.5793
2016-01-22,6.5794
2016-01-25,6.5794
2016-01-26,6.5797
2016-01-27,6.578
2016-01-28,6.5755
2016-01-29,6.5789
2016-02-01,6.5792
2016-02-02,6.5797
2016-02-03,6.5793
2016-02-04,6.5777
2016-02-05,6.5695
2016-02-15,6.4944
2016-02-16,6.5136
2016-02-17,6.5259
2016-02-18,6.5176
2016-02-19,6.5204
2016-02-22,6.5195
2016-02-23,6.5264
2016-02-24,6.5326
2016-02-25,6.534
2016-02-26,6.5372
2016-02-29,6.5472
2016-03-01,6.5472
2016-03-02,6.5515
2016-03-03,6.5428
2016-03-04,6.5218
2016-03-07,6.515
2016-03-08,6.5055
2016-03-09,6.515
2016-03-10,6.5159
2016-03-11,6.4985
2016-03-14,6.495
2016-03-15,6.5105
2016-03-16,6.521
2016-03-17,6.493
2016-03-18,6.4727
2016-03-21,6.4858
2016-03-22,6.4926
2016-03-23,6.4969
2016-03-24,6.5126
2016-03-25,6.5154
2016-03-28,6.516
2016-03-29,6.5115
2016-03-30,6.478
2016-03-31,6.4676
2016-04-01,6.4644
2016-04-05,6.4732
2016-04-06,6.482
2016-04-07,6.4729
2016-04-08,6.4753
2016-04-11,6.47
2016-04-12,6.4592
2016-04-13,6.4678
2016-04-14,6.4875
2016-04-15,6.4816
2016-04-18,6.4803
2016-04-19,6.4722
2016-04-20,6.4693
2016-04-21,6.4793
2016-04-22,6.493
2016-04-25,6.4969
2016-04-26,6.4935
2016-04-27,6.4935
2016-04-28,6.4818
2016-04-29,6.4855
2016-05-03,6.4743
2016-05-04,6.5
2016-05-05,6.5068
2016-05-06,6.5023
2016-05-09,6.5068
2016-05-10,6.5155
2016-05-11,6.512
2016-05-12,6.5122
2016-05-13,6.5202
2016-05-16,6.5209
2016-05-17,6.5227
2016-05-18,6.5353
2016-05-19,6.544
2016-05-20,6.5433
2016-05-23,6.5519
2016-05-24,6.5567
2016-05-25,6.562
2016-05-26,6.5619
2016-05-27,6.5597
2016-05-30,6.5825
2016-05-31,6.5846
2016-06-01,6.5821
2016-06-02,6.5792
2016-06-03,6.5855
2016-06-06,6.5648
2016-06-07,6.572
2016-06-08,6.5703
2016-06-13,6.5863
2016-06-14,6.5905
2016-06-15,6.5883
2016-06-16,6.584
2016-06-17,6.591
2016-06-20,6.5792
2016-06-21,6.5799
2016-06-22,6.5807
2016-06-23,6.5778
2016-06-24,6.6148
2016-06-27,6.6393
2016-06-28,6.6487
2016-06-29,6.6464
2016-06-30,6.6433
2016-07-01,6.6582
2016-07-04,6.6636
2016-07-05,6.6695
2016-07-06,6.69
2016-07-07,6.683
2016-07-08,6.6881
2016-07-11,6.6879
2016-07-12,6.685
2016-07-13,6.6922
2016-07-14,6.6871
2016-07-15,6.6804
2016-07-18,6.6987
2016-07-19,6.6893
2016-07-20,6.678
2016-07-21,6.6783
2016-07-22,6.6704
2016-07-25,6.6799
2016-07-26,6.6766
2016-07-27,6.6697
2016-07-28,6.6566
2016-07-29,6.6548
2016-08-01,6.639
2016-08-02,6.6389
2016-08-03,6.6308
2016-08-04,6.6392
2016-08-05,6.6452
2016-08-08,6.6624
2016-08-09,6.6619
2016-08-10,6.643
2016-08-11,6.6415
2016-08-12,6.6446
2016-08-15,6.6406
2016-08-16,6.626
2016-08-17,6.631
2016-08-18,6.6322
2016-08-19,6.65
2016-08-22,6.6578
2016-08-23,6.6416
2016-08-24,6.651
2016-08-25,6.6535
2016-08-26,6.6688
2016-08-29,6.679
2016-08-30,6.68
2016-08-31,6.6783
2016-09-01,6.68
2016-09-02,6.68
2016-09-05,6.6752
2016-09-06,6.6803
2016-09-07,6.6641
2016-09-08,6.6639
2016-09-09,6.6799
2016-09-12,6.6799
2016-09-13,6.68
2016-09-14,6.6711
2016-09-19,6.6716
2016-09-20,6.6711
2016-09-21,6.6713
2016-09-22,6.6693
2016-09-23,6.67
2016-09-26,6.6699
2016-09-27,6.6684
2016-09-28,6.6712
2016-09-29,6.669
